CODPRODUCTOSAP,DESSUBTIPO
210092742,MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO
200111219,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER TODOTIPODECUTIS-NORMAL
200106911,FRAGANCIAS/CABALLEROS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200106308,MUESTRAS COSMETICOS/FRAGANCIAS/PARFUM/PLUMA
200106356,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200106560,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106561,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106562,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106565,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106566,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106568,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106570,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106571,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106573,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106576,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106577,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200105178,TRATAMIENTO CORPORAL/MANOS/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS
200105328,FRAGANCIAS/DAMAS/EAU DE PARFUM/CON SPRAY
200106442,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106447,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106451,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106454,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106456,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106461,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106662,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106663,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106460,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
210089654,HOGAR/TIPO/BELLEZA Y SALUD/OTROS
200105983,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200105984,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106284,FRAGANCIAS/DAMAS/EAU DE PARFUM/CON SPRAY
200106346,FRAGANCIAS/DAMAS/EAU DE PARFUM/CON SPRAY
200106392,FRAGANCIAS/UNISEX/EAU DE TOILETE/CON SPRAY
200106563,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106564,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106572,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106575,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106644,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106646,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106647,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106648,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106649,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106651,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106653,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106659,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106660,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106664,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106667,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106654,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106670,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106312,FRAGANCIAS/FEMENINO/COLONIA/CON SPRAY
200106569,MAQUILLAJE/PARA LABIOS/LAPIZ LABIAL/BARRA
200106604,MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO
200106389,FRAGANCIAS/FAMILIAR BAÑO/COLONIA DE BAÑO/CON SPRAY
200119228,TRATAMIENTO FACIAL/PARA ROSTRO/NUTRITIVAS REVITALIZADORA/P-MUJER TODOTIPODECUTIS-NORMAL
210108519,COMPLEMENTOS/MOCHILA/MOCHILA/FEMENINO
200119150,MAQUILLAJE/PARA OJOS/MASCARA/A PRUEBA DE AGUA
210108276,HOGAR/BELLEZA/BELLEZA/P1
200119219,FRAGANCIAS/MASCULINO/PARFUM/CON SPRAY
200119154,MAQUILLAJE/PARA OJOS/MASCARA/A PRUEBA DE AGUA
200119149,MAQUILLAJE/PARA OJOS/PRODUCTO PARA CEJAS/LIQUIDO
210108177,RELOJES/RELOJES/SMARTWATCH/P1
200119146,CUIDADO PERSONAL/ARMADORES/FIJADOR/GEL
210108375,BIJOUTERIE/BIJOUTERIE SUELTA/DIJE/X1
210108329,BIJOUTERIE/BIJOUTERIE SUELTA/ARETES/X1
210108322,BIJOUTERIE/ESTUCHES OTROS/ESTUCHE MIX: COLLAR+ARETE/NO APLICA
210108343,BIJOUTERIE/ESTUCHES OTROS/ESTUCHE MIX: COLLAR+ARETE/NO APLICA
210108379,BIJOUTERIE/BIJOUTERIE SUELTA/ARETES/X1
210108339,BIJOUTERIE/ESTUCHES OTROS/ESTUCHE MIX: COLLAR+ARETE/NO APLICA
210108196,BIJOUTERIE/ESTUCHES OTROS/PULSERAS/X2
210106180,COMPLEMENTOS/MALETIN/MALETIN/P1
210107019,COMPLEMENTOS/BOLSO/BOLSO/MINI
210106172,COMPLEMENTOS/MORRAL/MORRAL/P1
210108235,COMPLEMENTOS/BOLSO/BOLSO/P2
210108253,COMPLEMENTOS/BILLETERA/MONEDERO/NO APLICA
210108258,COMPLEMENTOS/OTROS/OTROS TIPOS/NO APLICA
210108245,COMPLEMENTOS/BOLSO/BOLSO/P3
210108259,COMPLEMENTOS/BILLETERA/BILLETERA/MINI
210108264,COMPLEMENTOS/BILLETERA/BILLETERA/P1
200119153,MAQUILLAJE/PARA OJOS/MASCARA/A PRUEBA DE AGUA
220047010,N/A
210108261,COMPLEMENTOS/BILLETERA/BILLETERA/MINI
210108286,HOGAR/BELLEZA/BELLEZA/P1
200013161,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013162,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013163,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013173,TRATAMIENTO CORPORAL/MANOS/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS
200013175,MUESTRAS COSMETICOS/TRATAMIENTO CORPORAL/MANOS/VARIOS
200013183,DAMAS/ARETES/CLASICO/A
200013184,DAMAS/COLLARES/CLASICO/A
200013186,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013187,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013188,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013189,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013190,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013191,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013192,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
200013193,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
200013194,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
200013195,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
