CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
44109905,200112294,MAQUILLAJE,CYZONE,9.5,2/9/2023
36949902,200086399,FRAGANCIAS,LBEL,19.95,2/2/2023
49968221,200089498,TRATAMIENTO CORPORAL,ESIKA,36.9,2/10/2023
46114531,210102388,BIJOUTERIE,ESIKA,59.9,2/21/2023
50368645,210100620,COMPLEMENTOS,CYZONE,74.9,3/1/2023
3441296,200090349,CUIDADO PERSONAL,ESIKA,23.9,2/7/2023
50086135,200082687,CUIDADO PERSONAL,ESIKA,16,2/1/2023
49621434,200098345,FRAGANCIAS,ESIKA,17.36,2/9/2023
46587790,200106279,FRAGANCIAS,ESIKA,25.9,2/24/2023
46587790,200099047,FRAGANCIAS,ESIKA,10,2/24/2023
40764801,200093188,FRAGANCIAS,CYZONE,17.47,2/2/2023
45494314,200098704,CUIDADO PERSONAL,ESIKA,11.5,2/24/2023
33777957,200096218,TRATAMIENTO CORPORAL,ESIKA,27.9,2/24/2023
45697525,200103923,MAQUILLAJE,CYZONE,10.99,3/7/2023
34191115,210102316,BIJOUTERIE,ESIKA,54.9,3/7/2023
49588232,200107184,MAQUILLAJE,CYZONE,14.9,7/4/2023
50476650,200105005,FRAGANCIAS,CYZONE,24.3,7/4/2023
49588232,200107616,MAQUILLAJE,LBEL,21.45,7/4/2023
50349691,200103027,CUIDADO PERSONAL,ESIKA,23.9,7/4/2023
50476650,200101110,TRATAMIENTO FACIAL,LBEL,46,7/4/2023
45869830,200102110,MAQUILLAJE,CYZONE,14.9,7/4/2023
50476650,200064310,FRAGANCIAS,ESIKA,12.3,7/4/2023
45869830,210095971,MAQUILLAJE,CYZONE,25.9,7/4/2023
50837122,200089487,TRATAMIENTO FACIAL,ESIKA,19.9,7/4/2023
50349691,200090337,CUIDADO PERSONAL,ESIKA,24.9,7/4/2023
50843157,200072406,CUIDADO PERSONAL,LBEL,14.41,7/4/2023
50843157,200108157,FRAGANCIAS,LBEL,21.28,7/4/2023
50476650,200103327,MAQUILLAJE,ESIKA,24.9,7/4/2023
49588232,200103025,CUIDADO PERSONAL,ESIKA,21.98,7/4/2023
49588232,210101976,COMPLEMENTOS,CYZONE,49.9,7/4/2023
48346014,200084777,CUIDADO PERSONAL,CYZONE,15.9,5/4/2023
49599102,210103561,BIJOUTERIE,ESIKA,29.9,5/5/2023
49968221,200108908,CUIDADO PERSONAL,CYZONE,16.9,5/5/2023
50639266,200108747,MAQUILLAJE,ESIKA,26.9,5/5/2023
44109905,200106650,MAQUILLAJE,ESIKA,16.9,5/5/2023
50437760,200106668,MAQUILLAJE,ESIKA,16.9,5/5/2023
50437760,200108747,MAQUILLAJE,ESIKA,26.9,5/5/2023
44109905,200110649,MAQUILLAJE,ESIKA,24.9,5/5/2023
49642350,200109119,TRATAMIENTO CORPORAL,ESIKA,17.2,5/5/2023
48433154,200095464,CUIDADO PERSONAL,ESIKA,11.9,5/5/2023
50639266,200109163,MAQUILLAJE,CYZONE,17.9,5/5/2023
50639266,200102108,MAQUILLAJE,CYZONE,17.9,5/5/2023
49642350,200103025,CUIDADO PERSONAL,ESIKA,29.9,5/5/2023
50639266,200105195,CUIDADO PERSONAL,ESIKA,8.9,5/5/2023
50476650,200105073,MUESTRAS COSMETICOS,CYZONE,1.9,5/5/2023
49968221,210100131,BIJOUTERIE,ESIKA,69.9,5/5/2023
49968221,200103449,CUIDADO PERSONAL,CYZONE,8.9,5/5/2023
49599102,210100057,BIJOUTERIE,ESIKA,33.3,5/5/2023
44109905,210102331,BIJOUTERIE,ESIKA,79.9,5/5/2023
49968221,210101309,BIJOUTERIE,ESIKA,59.9,5/5/2023
49599102,200105070,MAQUILLAJE,LBEL,68,5/5/2023
49330626,200093884,FRAGANCIAS,ESIKA,18.3,5/5/2023
49330626,200106346,FRAGANCIAS,ESIKA,28.3,5/5/2023
49599102,200085523,TRATAMIENTO FACIAL,LBEL,64,5/5/2023
48341519,200105207,FRAGANCIAS,LBEL,48.3,5/5/2023
48341519,200105195,CUIDADO PERSONAL,ESIKA,7.38,5/5/2023
50224287,200113179,FRAGANCIAS,ESIKA,36.19,5/5/2023
48433154,200109875,FRAGANCIAS,LBEL,29.9,5/5/2023
44109905,210100408,CUIDADO PERSONAL,CYZONE,14.95,5/5/2023
48765629,200082688,CUIDADO PERSONAL,ESIKA,13.3,1/11/2023
46518039,200108726,TRATAMIENTO CORPORAL,LBEL,9.66,1/24/2023
45697525,200098416,MAQUILLAJE,LBEL,14.9,1/26/2023
50015882,200090452,FRAGANCIAS,ESIKA,39.9,1/13/2023
49961014,210092742,MAQUILLAJE,ESIKA,30.9,1/13/2023
49434669,200082687,CUIDADO PERSONAL,ESIKA,17.9,1/3/2023
44242133,210102044,COMPLEMENTOS,CYZONE,34.9,1/23/2023
44479885,200082678,FRAGANCIAS,ESIKA,13,1/24/2023
48823106,200102708,MAQUILLAJE,ESIKA,31.9,1/23/2023
44196425,200102670,MAQUILLAJE,ESIKA,18.9,1/16/2023
11976964,200101577,MAQUILLAJE,ESIKA,17.9,1/9/2023
33090625,200103405,MAQUILLAJE,ESIKA,19.34,1/19/2023
41317310,210098785,BIJOUTERIE,CYZONE,29.9,1/10/2023
48433154,200106436,MAQUILLAJE,ESIKA,18.9,1/23/2023
41317310,200108807,CUIDADO PERSONAL,ESIKA,8.9,1/10/2023
48765629,200082687,CUIDADO PERSONAL,ESIKA,13.3,1/11/2023
39625989,200108807,CUIDADO PERSONAL,ESIKA,7.63,1/10/2023
49621434,200111180,FRAGANCIAS,CYZONE,34.9,1/16/2023
11692060,200090352,TRATAMIENTO CORPORAL,ESIKA,28.9,1/16/2023
49864310,200108583,MAQUILLAJE,CYZONE,16.9,1/20/2023
49621434,210102011,COMPLEMENTOS,CYZONE,26.9,1/16/2023
50034054,200090455,FRAGANCIAS,ESIKA,27.3,2/3/2023
46669258,200082678,FRAGANCIAS,ESIKA,13.18,2/10/2023
49794401,200078924,CUIDADO PERSONAL,ESIKA,15.9,2/6/2023
46114531,200109874,FRAGANCIAS,CYZONE,24.9,1/31/2023
42759880,210102043,COMPLEMENTOS,CYZONE,34.9,1/31/2023
49728603,210099605,BIJOUTERIE,CYZONE,66.9,2/2/2023
47430550,210092742,MAQUILLAJE,ESIKA,29.9,2/9/2023
47948835,200090452,FRAGANCIAS,ESIKA,29.96,2/1/2023
49968221,210094915,COMPLEMENTOS,CYZONE,19.9,2/10/2023
49086741,210102013,COMPLEMENTOS,CYZONE,66.9,2/8/2023
49864310,210101561,BIJOUTERIE,ESIKA,39.9,2/13/2023
50147800,200085524,TRATAMIENTO FACIAL,LBEL,62,2/8/2023
4623541,200102650,MAQUILLAJE,ESIKA,19.9,2/6/2023
43767909,200106854,FRAGANCIAS,LBEL,69,1/31/2023
44661489,200072406,CUIDADO PERSONAL,LBEL,17.5,2/8/2023
33090625,200103918,MAQUILLAJE,CYZONE,15.9,2/13/2023
48823106,200083916,FRAGANCIAS,LBEL,31.24,2/7/2023
46627121,200108794,MAQUILLAJE,ESIKA,23.9,2/7/2023
48341519,200086432,FRAGANCIAS,ESIKA,29.45,2/6/2023
49931492,200105188,CUIDADO PERSONAL,ESIKA,5.29,1/31/2023
44242133,200109874,FRAGANCIAS,CYZONE,24.9,2/9/2023
49705387,200108044,TRATAMIENTO CORPORAL,ESIKA,4,2/7/2023
34191115,200103922,MAQUILLAJE,CYZONE,15.9,2/13/2023
49621434,200090452,FRAGANCIAS,ESIKA,30.54,2/9/2023
50034054,200106488,TRATAMIENTO FACIAL,CYZONE,12.45,2/3/2023
46669258,200103022,CUIDADO PERSONAL,ESIKA,11.7,2/10/2023
33777957,200091357,FRAGANCIAS,ESIKA,38.9,2/2/2023
44047470,200095826,FRAGANCIAS,LBEL,74,1/31/2023
49961014,210102383,BIJOUTERIE,ESIKA,39.9,2/3/2023
49975686,200103025,CUIDADO PERSONAL,ESIKA,43.9,2/2/2023
11976964,200099310,FRAGANCIAS,ESIKA,23.9,1/30/2023
42759880,200098264,FRAGANCIAS,ESIKA,15,1/31/2023
49968221,210097030,CUIDADO PERSONAL,LBEL,12.9,2/10/2023
44661489,210095249,CUIDADO PERSONAL,CYZONE,19.95,2/8/2023
48346014,210101981,COMPLEMENTOS,CYZONE,66.9,2/14/2023
47948835,200090452,FRAGANCIAS,ESIKA,29.97,2/1/2023
46669258,200099047,FRAGANCIAS,ESIKA,19.95,2/10/2023
4623541,200102351,MAQUILLAJE,ESIKA,22.9,2/6/2023
44045680,210086462,CUIDADO PERSONAL,ESIKA,21.9,2/2/2023
34191115,200113791,MAQUILLAJE,CYZONE,15.9,2/13/2023
49506570,200106559,MAQUILLAJE,CYZONE,13.9,2/18/2023
46114531,210101134,COMPLEMENTOS,CYZONE,26.9,1/31/2023
33905173,210102381,BIJOUTERIE,ESIKA,44.9,1/31/2023
50052273,200082688,CUIDADO PERSONAL,ESIKA,15,2/9/2023
47948835,210098462,MAQUILLAJE,CYZONE,11.5,2/1/2023
44479885,200102045,FRAGANCIAS,ESIKA,45.9,2/16/2023
49657315,210097405,BIJOUTERIE,ESIKA,44.9,2/1/2023
49642350,210097036,MAQUILLAJE,CYZONE,16.9,2/13/2023
48341519,200099047,FRAGANCIAS,ESIKA,20,2/6/2023
42759880,200101245,TRATAMIENTO FACIAL,LBEL,69,1/31/2023
49434669,200086566,CUIDADO PERSONAL,ESIKA,25.9,1/23/2023
31826446,200109874,FRAGANCIAS,CYZONE,24.9,2/7/2023
46114531,200112910,FRAGANCIAS,ESIKA,53.9,1/31/2023
49434669,210100074,BIJOUTERIE,ESIKA,39.9,1/23/2023
49566263,200100866,FRAGANCIAS,ESIKA,31.24,2/1/2023
46219902,210102381,BIJOUTERIE,ESIKA,44.9,2/13/2023
49397003,210102012,COMPLEMENTOS,CYZONE,66.9,2/8/2023
47948835,200102648,MAQUILLAJE,ESIKA,19.9,2/1/2023
49968221,200108047,FRAGANCIAS,CYZONE,22.9,2/10/2023
46611063,200109350,MAQUILLAJE,CYZONE,6.9,1/31/2023
42759880,200086399,FRAGANCIAS,LBEL,15,1/31/2023
44109905,200109538,FRAGANCIAS,LBEL,29.9,2/9/2023
48341519,200107360,MAQUILLAJE,CYZONE,13.9,2/6/2023
49397003,200105188,CUIDADO PERSONAL,ESIKA,11.9,2/8/2023
30185862,200109874,FRAGANCIAS,CYZONE,24.9,1/31/2023
44242133,200105218,TRATAMIENTO FACIAL,ESIKA,29.9,2/9/2023
49470762,200108752,CUIDADO PERSONAL,ESIKA,15.9,1/30/2023
49728603,200109874,FRAGANCIAS,CYZONE,24.9,2/2/2023
44045680,210098774,HOGAR,CYZONE,22.9,2/2/2023
46587790,200109786,TRATAMIENTO CORPORAL,LBEL,16.89,2/3/2023
49975686,200103733,MAQUILLAJE,ESIKA,32.9,2/13/2023
4623541,200110005,MAQUILLAJE,ESIKA,29.9,2/6/2023
49864469,200101065,TRATAMIENTO FACIAL,ESIKA,52.9,2/2/2023
48765629,200083997,FRAGANCIAS,ESIKA,27.47,1/30/2023
50224287,200103354,MAQUILLAJE,ESIKA,14.8,2/7/2023
31826446,200092456,TRATAMIENTO CORPORAL,ESIKA,13.09,2/7/2023
50034054,210097940,VARIOS,CYZONE,13.9,2/3/2023
44413795,200095170,CUIDADO PERSONAL,ESIKA,5.76,2/2/2023
49434669,210098263,BIJOUTERIE,ESIKA,29.9,1/23/2023
33529260,200089619,MUESTRAS COSMETICOS,LBEL,1.4,2/7/2023
47499070,200112293,MAQUILLAJE,CYZONE,9.5,1/20/2023
50014223,210092116,MAQUILLAJE,CYZONE,10.5,1/17/2023
48433154,200100838,FRAGANCIAS,ESIKA,76.57,1/23/2023
50147800,200105070,MAQUILLAJE,LBEL,38.35,1/18/2023
48212689,200086399,FRAGANCIAS,LBEL,16.64,1/10/2023
49330626,200093884,FRAGANCIAS,ESIKA,18.52,1/23/2023
48212689,200078924,CUIDADO PERSONAL,ESIKA,11.74,1/10/2023
49434669,200109160,MAQUILLAJE,LBEL,42,1/28/2023
33905173,210098275,BIJOUTERIE,ESIKA,69.9,1/10/2023
42498750,200089508,TRATAMIENTO CORPORAL,ESIKA,21.9,1/23/2023
48297765,210102079,COMPLEMENTOS,ESIKA,79.9,1/13/2023
48433154,210097089,CUIDADO PERSONAL,LBEL,11.9,1/23/2023
47097371,200103716,MAQUILLAJE,ESIKA,25.9,1/18/2023
49740433,200103923,MAQUILLAJE,CYZONE,15.9,1/11/2023
49885083,200107824,CUIDADO PERSONAL,LBEL,24.5,1/18/2023
49885083,200105188,CUIDADO PERSONAL,ESIKA,8.9,1/18/2023
49588232,200104065,TRATAMIENTO FACIAL,LBEL,34,1/17/2023
48341519,200107360,MAQUILLAJE,CYZONE,13.9,1/13/2023
40764801,210102010,COMPLEMENTOS,CYZONE,62.9,1/16/2023
49931050,200091727,FRAGANCIAS,ESIKA,29.9,1/23/2023
49075782,200089988,MAQUILLAJE,CYZONE,13.5,1/23/2023
49086741,210104543,BIJOUTERIE,ESIKA,29.9,1/18/2023
42382701,210099579,HOGAR,CYZONE,44.9,1/19/2023
39625989,200105125,CUIDADO PERSONAL,ESIKA,7.63,1/10/2023
39625989,200103441,CUIDADO PERSONAL,ESIKA,7.63,1/10/2023
49470762,200090452,FRAGANCIAS,ESIKA,39.9,1/9/2023
46587790,200103441,CUIDADO PERSONAL,ESIKA,13.9,1/13/2023
49794657,200099673,FRAGANCIAS,CYZONE,14,1/20/2023
41317310,200095931,FRAGANCIAS,ESIKA,29.9,1/10/2023
46219902,200112474,TRATAMIENTO CORPORAL,LBEL,29.9,1/27/2023
45680231,200101074,MAQUILLAJE,CYZONE,26.9,1/17/2023
47948835,200090452,FRAGANCIAS,ESIKA,39.9,1/10/2023
34978506,200102674,MAQUILLAJE,ESIKA,18.9,1/19/2023
49931050,200108728,TRATAMIENTO CORPORAL,LBEL,9.66,1/23/2023
11692060,210098531,MAQUILLAJE,CYZONE,24.9,1/16/2023
47880688,200090349,CUIDADO PERSONAL,ESIKA,17.3,1/26/2023
49740433,200106304,FRAGANCIAS,ESIKA,39.9,1/11/2023
44045680,210102136,RELOJES,ESIKA,99.9,1/12/2023
48341519,200105983,MAQUILLAJE,LBEL,18,1/13/2023
41317310,210102353,BIJOUTERIE,ESIKA,39.9,1/10/2023
36949902,200105017,FRAGANCIAS,CYZONE,16.9,1/13/2023
11976964,200078924,CUIDADO PERSONAL,ESIKA,11.74,1/9/2023
44047470,200098788,TRATAMIENTO FACIAL,LBEL,14.95,1/11/2023
49566263,200106304,FRAGANCIAS,ESIKA,39.9,1/16/2023
10459362,200093884,FRAGANCIAS,ESIKA,24.39,1/9/2023
10459362,200095374,CUIDADO PERSONAL,ESIKA,7.57,1/9/2023
48346014,210101378,BIJOUTERIE,ESIKA,40.9,1/19/2023
48297765,200103923,MAQUILLAJE,CYZONE,15.9,1/13/2023
34191115,200109163,MAQUILLAJE,CYZONE,15.9,1/17/2023
39625989,200101082,TRATAMIENTO FACIAL,ESIKA,21.9,1/10/2023
49588232,200105041,FRAGANCIAS,ESIKA,32.8,1/17/2023
42265901,200098788,TRATAMIENTO FACIAL,LBEL,14.95,1/9/2023
47430550,200102089,MAQUILLAJE,CYZONE,15.9,1/12/2023
49377649,210095249,CUIDADO PERSONAL,CYZONE,23.9,1/17/2023
49561199,200091511,FRAGANCIAS,ESIKA,39.9,1/16/2023
40764801,200112287,MAQUILLAJE,CYZONE,9.5,1/16/2023
49814240,200098103,MAQUILLAJE,ESIKA,12.9,1/16/2023
