CODEBELISTA,ANIOCAMPANA,CODPAIS,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
049958455,202302,PE,210100816,MAQUILLAJE,ESIKA,30.90000,2023-01-17
050038750,202302,PE,200095170,CUIDADO PERSONAL,ESIKA,11.90000,2023-01-20
026877393,202302,PE,200105125,CUIDADO PERSONAL,ESIKA,7.38000,2023-01-12
048742556,202302,PE,200097066,CUIDADO PERSONAL,ESIKA,29.90000,2023-01-12
049769164,202302,PE,200078924,CUIDADO PERSONAL,ESIKA,11.74000,2023-01-18
049176295,202302,PE,200103025,CUIDADO PERSONAL,ESIKA,26.63000,2023-01-19
046783913,202302,PE,200090452,FRAGANCIAS,ESIKA,39.90000,2023-01-18
050182681,202302,PE,200091269,CUIDADO PERSONAL,LBEL,29.90000,2023-01-13
040001522,202302,PE,200060760,FRAGANCIAS,CYZONE,23.50000,2023-01-17
044424479,202302,PE,200095895,FRAGANCIAS,CYZONE,39.90000,2023-01-19
049769164,202302,PE,200094874,MAQUILLAJE,ESIKA,8.50000,2023-01-18
050057712,202302,PE,200109537,CUIDADO PERSONAL,ESIKA,8.90000,2023-01-13
049086881,202302,PE,200105079,FRAGANCIAS,CYZONE,19.54000,2023-01-19
042566543,202302,PE,200077266,MAQUILLAJE,LBEL,30.00000,2023-01-27
046642481,202302,PE,210098751,COMPLEMENTOS,CYZONE,49.90000,2023-01-19
038513095,202302,PE,200102064,MAQUILLAJE,CYZONE,40.90000,2023-01-16
043696858,202302,PE,200105188,CUIDADO PERSONAL,ESIKA,11.90000,2023-01-10
049888384,202302,PE,200103338,TRATAMIENTO FACIAL,CYZONE,23.90000,2023-01-19
050058565,202302,PE,210095970,BIJOUTERIE,ESIKA,32.90000,2023-01-19
046353803,202302,PE,210095994,MAQUILLAJE,ESIKA,17.90000,2023-01-10
045979644,202302,PE,200082674,FRAGANCIAS,ESIKA,9.95000,2023-01-10
050147029,202302,PE,200106534,MAQUILLAJE,ESIKA,24.90000,2023-01-11
050202569,202302,PE,200078944,CUIDADO PERSONAL,ESIKA,22.90000,2023-01-19
049897502,202302,PE,210100632,COMPLEMENTOS,CYZONE,79.90000,2023-01-23
050190595,202302,PE,200103961,TRATAMIENTO CORPORAL,LBEL,12.90000,2023-01-20
042934321,202302,PE,210099696,PROMOCION USUARIOS,CYZONE,1.00000,2023-01-13
049405812,202302,PE,200095374,CUIDADO PERSONAL,ESIKA,7.11000,2023-01-19
049208022,202302,PE,200109633,TRATAMIENTO CORPORAL,ESIKA,24.90000,2023-01-18
049932782,202302,PE,200099112,MAQUILLAJE,LBEL,52.90000,2023-01-10
049649444,202302,PE,200106431,MAQUILLAJE,ESIKA,18.90000,2023-01-09
049762607,202302,PE,210100407,CUIDADO PERSONAL,CYZONE,23.90000,2023-01-17
045013596,202302,PE,200099203,MAQUILLAJE,LBEL,82.00000,2023-01-27
049091354,202302,PE,210096913,VARIOS,ESIKA,59.90000,2023-01-20
049823177,202302,PE,200089507,FRAGANCIAS,ESIKA,41.90000,2023-01-17
048468543,202302,PE,210097482,MAQUILLAJE,CYZONE,12.90000,2023-01-12
049086881,202302,PE,200109263,TRATAMIENTO FACIAL,CYZONE,14.90000,2023-01-19
049762607,202302,PE,200089488,TRATAMIENTO CORPORAL,ESIKA,48.90000,2023-01-17
046446216,202302,PE,200112725,MAQUILLAJE,LBEL,52.00000,2023-01-23
048582354,202302,PE,210094277,BIJOUTERIE,ESIKA,25.50000,2023-01-02
050225909,202302,PE,200082687,CUIDADO PERSONAL,ESIKA,17.90000,2023-01-18
049130813,202302,PE,210101976,COMPLEMENTOS,CYZONE,48.45000,2023-01-18
043452614,202302,PE,210091733,BIJOUTERIE,ESIKA,34.90000,2023-01-17
047911478,202302,PE,200105017,FRAGANCIAS,CYZONE,19.39000,2023-01-24
048070051,202302,PE,200103356,MAQUILLAJE,ESIKA,24.90000,2023-01-23
047654882,202302,PE,200090349,CUIDADO PERSONAL,ESIKA,23.90000,2023-01-12
046352238,202302,PE,200098788,TRATAMIENTO FACIAL,LBEL,14.95000,2023-01-17
004153839,202302,PE,200108048,FRAGANCIAS,CYZONE,23.90000,2023-01-24
048978487,202302,PE,200103441,CUIDADO PERSONAL,ESIKA,7.38000,2023-01-23
028469098,202302,PE,210101976,COMPLEMENTOS,CYZONE,51.90000,2023-01-12
049091354,202302,PE,200107144,MAQUILLAJE,CYZONE,9.90000,2023-01-20
049955537,202302,PE,200095158,CUIDADO PERSONAL,ESIKA,5.34000,2023-01-17
041171911,202302,PE,200095158,CUIDADO PERSONAL,ESIKA,5.34000,2023-01-10
047318254,202302,PE,200097066,CUIDADO PERSONAL,ESIKA,29.90000,2023-01-18
043170651,202302,PE,200107828,CUIDADO PERSONAL,LBEL,16.45000,2023-01-13
045243885,202302,PE,200106312,FRAGANCIAS,ESIKA,0.02000,2023-01-19
048871607,202302,PE,210098496,TRATAMIENTO CORPORAL,CYZONE,33.90000,2023-01-17
038441671,202302,PE,200112480,MAQUILLAJE,ESIKA,12.90000,2023-01-16
042777201,202302,PE,200106503,MAQUILLAJE,ESIKA,22.90000,2023-01-26
049350341,202302,PE,200112905,MAQUILLAJE,CYZONE,23.90000,2023-01-11
045547477,202302,PE,210104543,BIJOUTERIE,ESIKA,29.90000,2023-01-19
048985009,202302,PE,200102089,MAQUILLAJE,CYZONE,15.90000,2023-01-11
044862972,202302,PE,200078924,CUIDADO PERSONAL,ESIKA,11.65000,2023-01-19
048524060,202302,PE,210097036,MAQUILLAJE,CYZONE,18.90000,2023-01-13
048003761,202302,PE,200098960,MAQUILLAJE,LBEL,22.95000,2023-01-17
045559017,202302,PE,200095158,CUIDADO PERSONAL,ESIKA,7.38000,2023-01-17
049864523,202302,PE,200105005,FRAGANCIAS,CYZONE,33.90000,2023-01-11
043696858,202302,PE,200108409,FRAGANCIAS,ESIKA,18.34000,2023-01-10
035631909,202302,PE,200102097,MAQUILLAJE,CYZONE,15.90000,2023-01-23
046662628,202302,PE,210102041,COMPLEMENTOS,CYZONE,22.90000,2023-01-27
049546076,202302,PE,200086399,FRAGANCIAS,LBEL,39.90000,2023-01-16
049130813,202302,PE,200105188,CUIDADO PERSONAL,ESIKA,11.90000,2023-01-18
050036154,202302,PE,200072913,FRAGANCIAS,ESIKA,13.30000,2023-01-13
050092682,202302,PE,200107824,CUIDADO PERSONAL,LBEL,18.00000,2023-01-23
050207196,202302,PE,200082652,CUIDADO PERSONAL,ESIKA,31.90000,2023-01-18
048494900,202302,PE,200105125,CUIDADO PERSONAL,ESIKA,5.10000,2023-01-26
034713448,202302,PE,200107346,MAQUILLAJE,CYZONE,13.90000,2023-01-12
044424479,202302,PE,200107183,MAQUILLAJE,CYZONE,15.90000,2023-01-19
047110386,202302,PE,210094971,BIJOUTERIE,CYZONE,24.90000,2023-01-17
044184257,202302,PE,210099696,PROMOCION USUARIOS,CYZONE,1.24000,2023-01-24
049686269,202302,PE,200078931,CUIDADO PERSONAL,ESIKA,13.30000,2023-01-16
048968821,202302,PE,200098264,FRAGANCIAS,ESIKA,65.98000,2023-01-18
042133752,202302,PE,210101976,COMPLEMENTOS,CYZONE,51.90000,2023-01-23
043110489,202302,PE,210102041,COMPLEMENTOS,CYZONE,22.90000,2023-01-10
046201108,202302,PE,200107368,MAQUILLAJE,CYZONE,13.90000,2023-01-13
047362741,202302,PE,210101980,COMPLEMENTOS,CYZONE,62.90000,2023-01-16
049790155,202302,PE,200095159,CUIDADO PERSONAL,ESIKA,7.38000,2023-01-26
044064324,202302,PE,210100409,CUIDADO PERSONAL,LBEL,11.80000,2023-01-12
043480952,202302,PE,200093883,FRAGANCIAS,ESIKA,26.23000,2023-01-25
035532791,202302,PE,200103025,CUIDADO PERSONAL,ESIKA,23.90000,2023-01-17
038691546,202302,PE,200095158,CUIDADO PERSONAL,ESIKA,5.34000,2023-01-24
049958455,202302,PE,200086172,FRAGANCIAS,CYZONE,32.99000,2023-01-17
049616392,202302,PE,200100926,FRAGANCIAS,ESIKA,29.38000,2023-01-16
048845339,202302,PE,200084297,MAQUILLAJE,ESIKA,9.90000,2023-01-09
048491162,202302,PE,210083802,VARIOS,CYZONE,12.90000,2023-01-12
047206723,202302,PE,200088133,FRAGANCIAS,ESIKA,29.90000,2023-01-18
050150801,202302,PE,210101976,COMPLEMENTOS,CYZONE,48.45000,2023-01-18
049528744,202301,PE,210095971,MAQUILLAJE,CYZONE,18.90000,2023-01-06
050178846,202301,PE,200095964,FRAGANCIAS,CYZONE,16.10000,2023-01-06
043462830,202301,PE,210096238,MAQUILLAJE,ESIKA,17.90000,2022-12-20
049603223,202301,PE,200108408,FRAGANCIAS,ESIKA,29.90000,2022-12-26
047110386,202301,PE,210097089,CUIDADO PERSONAL,LBEL,7.54000,2022-12-28
048582354,202301,PE,210102331,BIJOUTERIE,ESIKA,34.90000,2022-12-06
048978487,202301,PE,200103027,CUIDADO PERSONAL,ESIKA,20.90000,2023-01-05
044184257,202301,PE,210094925,COMPLEMENTOS,CYZONE,37.90000,2023-01-06
049739710,202301,PE,200094149,FRAGANCIAS,CYZONE,26.86000,2023-01-04
043485091,202301,PE,200108409,FRAGANCIAS,ESIKA,28.56000,2023-01-04
049939191,202301,PE,200102370,FRAGANCIAS,ESIKA,10.00000,2022-12-28
047455731,202301,PE,200092462,MUESTRAS COSMETICOS,LBEL,1.90000,2022-12-26
012880243,202301,PE,210096561,BIJOUTERIE,ESIKA,47.90000,2022-12-27
048363474,202301,PE,200103026,CUIDADO PERSONAL,ESIKA,18.00000,2022-12-27
049825722,202301,PE,200095570,CUIDADO PERSONAL,ESIKA,4.95000,2022-12-19
043742744,202301,PE,200107355,MAQUILLAJE,CYZONE,11.30000,2022-12-22
046084780,202301,PE,200108671,FRAGANCIAS,ESIKA,38.30000,2023-01-06
009341773,202301,PE,210102309,BIJOUTERIE,ESIKA,39.90000,2023-01-04
048936849,202301,PE,200105011,FRAGANCIAS,CYZONE,24.96000,2023-01-03
049394195,202301,PE,200103025,CUIDADO PERSONAL,ESIKA,20.82000,2023-01-02
050043355,202301,PE,200105655,CUIDADO PERSONAL,ESIKA,24.90000,2022-12-29
049616392,202301,PE,210102139,LENTES,ESIKA,61.90000,2022-12-22
042954683,202301,PE,200106852,FRAGANCIAS,LBEL,40.00000,2022-12-29
048221858,202301,PE,200106354,FRAGANCIAS,LBEL,24.95000,2022-12-23
020026081,202301,PE,210100817,MAQUILLAJE,ESIKA,30.90000,2022-12-26
047597889,202301,PE,200091357,FRAGANCIAS,ESIKA,26.90000,2022-12-27
045761673,202301,PE,200105041,FRAGANCIAS,ESIKA,31.90000,2022-12-21
049697031,202301,PE,210099669,COMPLEMENTOS,CYZONE,39.90000,2022-12-28
050036154,202301,PE,200109315,MAQUILLAJE,LBEL,8.90000,2022-12-26
045966674,202301,PE,200108674,CUIDADO PERSONAL,ESIKA,3.90000,2022-12-28
047547814,202301,PE,200084777,CUIDADO PERSONAL,CYZONE,15.90000,2022-12-12
048623514,202301,PE,200108409,FRAGANCIAS,ESIKA,16.90000,2022-12-28
036929197,202301,PE,200111996,MAQUILLAJE,CYZONE,17.90000,2022-12-26
045186695,202301,PE,200088568,TRATAMIENTO CORPORAL,ESIKA,17.90000,2022-12-16
038513095,202301,PE,200095465,CUIDADO PERSONAL,ESIKA,4.95000,2022-12-22
048174760,202301,PE,210099604,BIJOUTERIE,CYZONE,39.90000,2022-12-20
046199014,202301,PE,210102134,RELOJES,ESIKA,109.90000,2022-12-27
049808488,202301,PE,200106081,CUIDADO PERSONAL,ESIKA,15.90000,2022-12-23
002227789,202301,PE,200099686,FRAGANCIAS,CYZONE,14.98000,2023-01-04
046642481,202301,PE,200095895,FRAGANCIAS,CYZONE,31.90000,2023-01-02
048840701,202301,PE,200086399,FRAGANCIAS,LBEL,19.90000,2022-12-26
045795276,202301,PE,200102430,FRAGANCIAS,ESIKA,57.90000,2022-12-28
049400187,202301,PE,200082481,FRAGANCIAS,CYZONE,34.90000,2022-12-27
001912461,202301,PE,210099020,PROMOCION USUARIOS,ESIKA,49.90000,2022-12-29
046070887,202301,PE,200083615,FRAGANCIAS,CYZONE,49.90000,2022-12-20
046766636,202301,PE,200090452,FRAGANCIAS,ESIKA,30.54000,2022-12-22
050099067,202301,PE,200103450,CUIDADO PERSONAL,CYZONE,5.10000,2022-12-28
043452398,202301,PE,200105207,FRAGANCIAS,LBEL,64.95000,2022-12-30
049688822,202301,PE,200095162,CUIDADO PERSONAL,ESIKA,11.90000,2022-12-30
044825295,202301,PE,210102309,BIJOUTERIE,ESIKA,34.90000,2022-12-29
047267382,202301,PE,200086566,CUIDADO PERSONAL,ESIKA,24.90000,2022-12-22
049633920,202301,PE,200102708,MAQUILLAJE,ESIKA,12.90000,2022-12-30
050136752,202301,PE,200108408,FRAGANCIAS,ESIKA,19.90000,2023-01-07
049130813,202301,PE,200108409,FRAGANCIAS,ESIKA,16.54000,2022-12-30
049652879,202301,PE,200089988,MAQUILLAJE,CYZONE,16.90000,2022-12-20
041387572,202301,PE,200108409,FRAGANCIAS,ESIKA,28.56000,2023-01-07
046381297,202301,PE,200098789,TRATAMIENTO FACIAL,LBEL,45.00000,2023-01-03
032032842,202301,PE,200108752,CUIDADO PERSONAL,ESIKA,22.90000,2022-12-27
048659616,202301,PE,210096267,MAQUILLAJE,ESIKA,17.90000,2022-12-30
047815649,202301,PE,200094217,FRAGANCIAS,ESIKA,40.00000,2022-12-30
045413268,202301,PE,200100836,MUESTRAS COSMETICOS,ESIKA,1.50000,2023-01-05
