CODEBELISTA,ANIOCAMPANA,CODPAIS,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
9900501574,202301,CO,200106398,FRAGANCIAS,ESIKA,11238.00000,2022-12-27
9906949413,202301,CO,200103449,CUIDADO PERSONAL,CYZONE,5550.00000,2022-12-26
9900213032,202301,CO,200103026,CUIDADO PERSONAL,ESIKA,11000.00000,2022-12-26
9907429635,202301,CO,200105017,FRAGANCIAS,CYZONE,4000.00000,2022-12-26
9907442422,202301,CO,200039855,FRAGANCIAS,CYZONE,20726.00000,2023-01-03
9900220200,202301,CO,200105985,MAQUILLAJE,LBEL,17000.00000,2022-12-29
9900206373,202301,CO,200039855,FRAGANCIAS,CYZONE,24400.00000,2023-01-04
9907285503,202301,CO,200112454,FRAGANCIAS,ESIKA,35295.00000,2022-12-27
9907405320,202301,CO,200064310,FRAGANCIAS,ESIKA,18550.00000,2023-01-11
9900192274,202301,CO,200106312,FRAGANCIAS,ESIKA,12800.00000,2023-01-03
9907442422,202301,CO,200039855,FRAGANCIAS,CYZONE,17962.00000,2023-01-03
9900501574,202301,CO,200039855,FRAGANCIAS,CYZONE,20726.00000,2022-12-27
9907446416,202301,CO,200104924,CUIDADO PERSONAL,ESIKA,7450.00000,2023-01-03
9907443865,202301,CO,200082678,FRAGANCIAS,ESIKA,10595.00000,2022-12-15
9900065113,202301,CO,210096209,MAQUILLAJE,ESIKA,13550.00000,2023-01-11
9907467079,202303,CO,200089498,TRATAMIENTO CORPORAL,ESIKA,23400.00000,2023-02-08
9907464239,202303,CO,200108089,MAQUILLAJE,ESIKA,15900.00000,2023-01-31
9906809574,202303,CO,210099621,COMPLEMENTOS,CYZONE,64950.00000,2023-02-09
9907384712,202303,CO,200101430,FRAGANCIAS,ESIKA,85000.00000,2023-02-17
9907137352,202303,CO,200095374,CUIDADO PERSONAL,ESIKA,3567.00000,2023-02-02
9906408151,202303,CO,200091295,FRAGANCIAS,ESIKA,32000.00000,2023-02-10
9900501574,202303,CO,200105011,FRAGANCIAS,CYZONE,17727.00000,2023-02-02
9907446416,202303,CO,200105079,FRAGANCIAS,CYZONE,13000.00000,2023-02-08
9907402269,202307,CO,200060760,FRAGANCIAS,CYZONE,28475.00000,2023-04-26
9907051720,202307,CO,200100770,FRAGANCIAS,ESIKA,14487.00000,2023-04-26
9907051720,202307,CO,200111180,FRAGANCIAS,CYZONE,19000.00000,2023-04-26
9907402269,202307,CO,200095159,CUIDADO PERSONAL,ESIKA,4516.00000,2023-04-26
9907473583,202307,CO,200105207,FRAGANCIAS,LBEL,38333.00000,2023-04-26
9907051720,202307,CO,200106604,MAQUILLAJE,CYZONE,12550.00000,2023-04-26
9907302630,202307,CO,200105005,FRAGANCIAS,CYZONE,26950.00000,2023-04-26
9907051720,202307,CO,200111179,CUIDADO PERSONAL,CYZONE,5750.00000,2023-04-26
9907302630,202307,CO,200095162,CUIDADO PERSONAL,ESIKA,4516.00000,2023-04-26
9907051720,202307,CO,200105017,FRAGANCIAS,CYZONE,17550.00000,2023-04-26
9907402269,202307,CO,200060760,FRAGANCIAS,CYZONE,28475.00000,2023-04-26
9907302630,202307,CO,200039855,FRAGANCIAS,CYZONE,29950.00000,2023-04-26
9907285503,202307,CO,200095159,CUIDADO PERSONAL,ESIKA,4000.00000,2023-04-26
9907474323,202307,CO,200105124,CUIDADO PERSONAL,ESIKA,4516.00000,2023-04-26
9907387968,202304,CO,200089510,CUIDADO PERSONAL,CYZONE,18550.00000,2023-02-27
9906715172,202304,CO,200103354,MAQUILLAJE,ESIKA,13200.00000,2023-02-24
9907363549,202304,CO,200106454,MAQUILLAJE,ESIKA,12475.00000,2023-02-22
9907464239,202304,CO,210102319,BIJOUTERIE,ESIKA,42950.00000,2023-02-23
9907463146,202304,CO,200103961,TRATAMIENTO CORPORAL,LBEL,10000.00000,2023-02-21
9907425294,202304,CO,200108673,CUIDADO PERSONAL,ESIKA,4300.00000,2023-02-21
9907475160,202304,CO,200092742,FRAGANCIAS,CYZONE,26550.00000,2023-02-23
9907423857,202304,CO,210102085,PROMOCION USUARIOS,ESIKA,47900.00000,2023-02-21
035780947,202303,PE,210099164,BIJOUTERIE,ESIKA,59.90000,2023-02-09
047842980,202303,PE,210095652,MAQUILLAJE,CYZONE,18.89000,2023-02-10
050212556,202303,PE,200112634,MAQUILLAJE,ESIKA,20.90000,2023-02-08
045667464,202303,PE,200083997,FRAGANCIAS,ESIKA,43.90000,2023-01-23
050331873,202303,PE,200105188,CUIDADO PERSONAL,ESIKA,7.38000,2023-02-14
049770863,202303,PE,200109874,FRAGANCIAS,CYZONE,23.94000,2023-02-06
9907384712,202303,CO,200103442,CUIDADO PERSONAL,ESIKA,3567.00000,2023-02-17
9907423857,202303,CO,200089989,MAQUILLAJE,CYZONE,13000.00000,2023-02-02
9907049382,202303,CO,200095159,CUIDADO PERSONAL,ESIKA,3567.00000,2023-02-16
9907463146,202303,CO,200102351,MAQUILLAJE,ESIKA,16950.00000,2023-01-30
9907387968,202303,CO,200039855,FRAGANCIAS,CYZONE,24547.00000,2023-02-08
9907463146,202303,CO,200036215,ACCESORIOS COSMETICOS,ESIKA,16550.00000,2023-01-30
9906715172,202303,CO,200109119,TRATAMIENTO CORPORAL,ESIKA,12453.00000,2023-02-02
9900220200,202303,CO,200106398,FRAGANCIAS,ESIKA,15000.00000,2023-02-08
9907287507,202303,CO,210097911,HOGAR,CYZONE,18950.00000,2023-01-30
9907334876,202303,CO,200095158,CUIDADO PERSONAL,ESIKA,3567.00000,2023-02-03
