CODEBELISTA,FECHAPROCESO,total_price
3441296,10/29/2024,19.9
3441296,10/31/2023,19.57
3441296,10/9/2024,29.9
3441296,11/19/2024,39.9
3441296,11/21/2023,16.34
3441296,12/11/2023,24.9
3441296,12/13/2024,16.9
3441296,12/27/2022,7.38
3441296,12/28/2023,14.9
3441296,2/15/2023,23.9
3441296,2/2/2024,0.9
3441296,2/23/2024,24.9
3441296,2/28/2023,15.9
3441296,2/7/2023,23.9
3441296,3/20/2024,44.9
3441296,4/11/2023,13.3
3441296,5/19/2023,35.9
3441296,6/10/2024,36.9
3441296,6/8/2023,17.9
3441296,7/23/2024,64.9
3441296,7/3/2024,16.9
3441296,7/4/2023,14.9
3441296,8/13/2024,10.08
3441296,8/15/2023,7.38
3441296,9/19/2024,10.0
3441296,9/2/2024,23.9
3441296,9/21/2023,26.9
3441296,9/5/2023,39.9
4623541,1/20/2023,24.5
4623541,12/27/2022,17.9
4623541,2/27/2023,19.9
4623541,2/6/2023,19.9
4623541,3/17/2023,19.9
4623541,4/28/2023,62.0
4623541,4/8/2023,69.9
4623541,5/26/2023,7.38
4623541,6/16/2023,25.9
4623541,7/10/2023,64.9
4623541,8/2/2023,22.9
8351554,1/18/2024,29.9
8351554,10/11/2024,11.9
8351554,11/21/2024,37.9
8351554,11/22/2024,14.9
8351554,11/23/2023,17.9
8351554,11/3/2023,7.38
8351554,11/5/2024,49.9
8351554,12/15/2023,19.9
8351554,12/2/2023,89.9
8351554,12/29/2023,79.9
8351554,2/29/2024,24.9
8351554,2/8/2024,30.9
8351554,3/21/2024,51.9
8351554,4/12/2024,24.9
8351554,5/2/2024,26.9
8351554,5/26/2023,35.9
8351554,5/27/2024,13.9
8351554,6/13/2024,29.9
8351554,6/19/2023,18.9
8351554,7/26/2023,24.9
8351554,7/26/2024,16.9
8351554,7/6/2023,38.9
8351554,8/17/2023,25.9
8351554,8/22/2024,19.9
8351554,9/10/2024,23.9
8351554,9/24/2024,59.9
8351554,9/25/2023,35.9
8351554,9/7/2023,9.9
8592470,10/25/2024,14.33
8592470,10/3/2024,17.9
8592470,11/18/2024,10.0
8592470,8/22/2024,20.11
8592470,8/9/2024,59.9
8592470,9/19/2024,22.9
9687599,10/3/2024,20.0
9687599,5/27/2024,1.5
9687599,6/12/2024,21.9
9687599,7/26/2024,4.98
9687599,7/8/2024,10.99
9687599,8/8/2024,20.0
9687599,9/19/2024,4.98
9687599,9/3/2024,8.9
10018668,4/18/2024,15.9
10018668,5/2/2024,100.0
10018668,5/23/2024,39.9
10018668,6/13/2024,100.0
10018668,7/25/2024,69.5
10018668,7/4/2024,36.5
10316898,10/14/2024,22.89
10316898,11/4/2024,17.9
10316898,4/15/2024,10.0
10316898,5/23/2024,25.9
10316898,5/3/2024,23.9
10316898,6/27/2024,79.9
10316898,6/6/2024,18.9
10316898,7/25/2024,31.9
10316898,7/3/2024,1.16
10316898,8/8/2024,44.9
10316898,9/25/2024,19.96
10316898,9/5/2024,34.9
10459362,1/30/2023,26.3
10459362,1/9/2023,24.39
10459362,12/16/2022,34.9
10576075,1/30/2023,38.39
10576075,1/9/2023,39.9
10576075,12/19/2022,24.95
10576075,2/20/2023,24.9
10576075,3/14/2023,36.9
10576075,4/24/2023,39.9
10576075,4/3/2023,78.9
10576075,5/15/2023,37.9
11044867,10/28/2024,34.32
11692060,1/16/2023,28.9
11692060,1/17/2023,51.9
11692060,1/20/2023,48.45
11692060,12/21/2022,64.95
11692060,2/27/2023,10.88
11692060,2/6/2023,19.9
11692060,3/20/2023,13.3
11692060,4/10/2023,52.9
11692060,4/11/2023,43.39
11692060,4/14/2023,59.9
11774652,10/28/2024,27.6
11774652,11/18/2024,7.38
11774652,8/23/2024,1.5
11774652,8/7/2024,59.9
11774652,9/10/2024,25.9
11774652,9/23/2024,27.44
11976964,1/30/2023,23.9
11976964,1/9/2023,17.9
11976964,12/19/2022,9.9
11976964,2/20/2023,36.9
11976964,3/13/2023,79.9
11976964,4/24/2023,7.38
11976964,4/3/2023,12.9
