Recency_bins,Frequency_bins,Category,Product_Count
"(-0.001, 1.0]","(-0.001, 1.0]",ACCESORIOS COSMETICOS,0
"(-0.001, 1.0]","(-0.001, 1.0]",BIJOUTERIE,0
"(-0.001, 1.0]","(-0.001, 1.0]",COMPLEMENTOS,0
"(-0.001, 1.0]","(-0.001, 1.0]",CUIDADO PERSONAL,0
"(-0.001, 1.0]","(-0.001, 1.0]",FRAGANCIAS,0
"(-0.001, 1.0]","(-0.001, 1.0]",HOGAR,0
"(-0.001, 1.0]","(-0.001, 1.0]",LENTES,0
"(-0.001, 1.0]","(-0.001, 1.0]",MAQUILLAJE,0
"(-0.001, 1.0]","(-0.001, 1.0]",MUESTRAS COSMETICOS,0
"(-0.001, 1.0]","(-0.001, 1.0]",PROMOCION USUARIOS,0
"(-0.001, 1.0]","(-0.001, 1.0]",RELOJES,0
"(-0.001, 1.0]","(-0.001, 1.0]",TRATAMIENTO CORPORAL,0
"(-0.001, 1.0]","(-0.001, 1.0]",TRATAMIENTO FACIAL,0
"(-0.001, 1.0]","(-0.001, 1.0]",VARIOS,0
"(-0.001, 1.0]","(1.0, 2.0]",ACCESORIOS COSMETICOS,0
"(-0.001, 1.0]","(1.0, 2.0]",BIJOUTERIE,0
"(-0.001, 1.0]","(1.0, 2.0]",COMPLEMENTOS,0
"(-0.001, 1.0]","(1.0, 2.0]",CUIDADO PERSONAL,0
"(-0.001, 1.0]","(1.0, 2.0]",FRAGANCIAS,0
"(-0.001, 1.0]","(1.0, 2.0]",HOGAR,0
"(-0.001, 1.0]","(1.0, 2.0]",LENTES,0
"(-0.001, 1.0]","(1.0, 2.0]",MAQUILLAJE,0
"(-0.001, 1.0]","(1.0, 2.0]",MUESTRAS COSMETICOS,0
"(-0.001, 1.0]","(1.0, 2.0]",PROMOCION USUARIOS,0
"(-0.001, 1.0]","(1.0, 2.0]",RELOJES,0
"(-0.001, 1.0]","(1.0, 2.0]",TRATAMIENTO CORPORAL,0
"(-0.001, 1.0]","(1.0, 2.0]",TRATAMIENTO FACIAL,1
"(-0.001, 1.0]","(1.0, 2.0]",VARIOS,0
"(-0.001, 1.0]","(2.0, 3.0]",ACCESORIOS COSMETICOS,0
"(-0.001, 1.0]","(2.0, 3.0]",BIJOUTERIE,0
"(-0.001, 1.0]","(2.0, 3.0]",COMPLEMENTOS,0
"(-0.001, 1.0]","(2.0, 3.0]",CUIDADO PERSONAL,0
"(-0.001, 1.0]","(2.0, 3.0]",FRAGANCIAS,0
"(-0.001, 1.0]","(2.0, 3.0]",HOGAR,0
"(-0.001, 1.0]","(2.0, 3.0]",LENTES,0
"(-0.001, 1.0]","(2.0, 3.0]",MAQUILLAJE,0
"(-0.001, 1.0]","(2.0, 3.0]",MUESTRAS COSMETICOS,0
"(-0.001, 1.0]","(2.0, 3.0]",PROMOCION USUARIOS,0
"(-0.001, 1.0]","(2.0, 3.0]",RELOJES,0
"(-0.001, 1.0]","(2.0, 3.0]",TRATAMIENTO CORPORAL,0
"(-0.001, 1.0]","(2.0, 3.0]",TRATAMIENTO FACIAL,0
"(-0.001, 1.0]","(2.0, 3.0]",VARIOS,0
"(-0.001, 1.0]","(3.0, 4.0]",ACCESORIOS COSMETICOS,0
"(-0.001, 1.0]","(3.0, 4.0]",BIJOUTERIE,0
"(-0.001, 1.0]","(3.0, 4.0]",COMPLEMENTOS,0
"(-0.001, 1.0]","(3.0, 4.0]",CUIDADO PERSONAL,0
"(-0.001, 1.0]","(3.0, 4.0]",FRAGANCIAS,0
"(-0.001, 1.0]","(3.0, 4.0]",HOGAR,0
"(-0.001, 1.0]","(3.0, 4.0]",LENTES,0
"(-0.001, 1.0]","(3.0, 4.0]",MAQUILLAJE,0
"(-0.001, 1.0]","(3.0, 4.0]",MUESTRAS COSMETICOS,0
"(-0.001, 1.0]","(3.0, 4.0]",PROMOCION USUARIOS,0
