consultant_id,product_id,category,brand,price,date,purchase_frequency,recency
42318647,200113244,FRAGANCIAS,LBEL,167.0,2023-05-22,1,577
50136795,200106565,MAQUILLAJE,CYZONE,32.0,2023-05-22,1,577
50136795,400095709,Others,LBEL,0.8,2023-05-22,1,577
27170242,200110665,MAQUILLAJE,LBEL,69.0,2023-05-22,1,577
50368882,200093884,FRAGANCIAS,ESIKA,62.0,2023-05-22,1,577
45376036,200095162,CUIDADO PERSONAL,ESIKA,36.9,2023-05-22,7,577
40184831,210100861,RELOJES,ESIKA,200.0,2023-05-22,1,577
45376036,200112298,MAQUILLAJE,CYZONE,21.0,2023-05-22,1,577
50368882,210105042,BIJOUTERIE,ESIKA,110.0,2023-05-22,1,577
50513009,200098673,FRAGANCIAS,ESIKA,140.0,2023-05-22,6,577
42318647,200101369,FRAGANCIAS,LBEL,167.0,2023-05-22,6,577
50513009,200092457,MUESTRAS COSMETICOS,CYZONE,1.2,2023-05-22,2,577
50513009,200102045,FRAGANCIAS,ESIKA,160.0,2023-05-22,1,577
50513009,400095727,Others,GENERICA,0.8,2023-05-22,1,577
42318647,210096265,MAQUILLAJE,ESIKA,44.0,2023-05-22,2,577
27170242,200102061,FRAGANCIAS,ESIKA,60.0,2023-05-22,1,577
50368882,200103449,CUIDADO PERSONAL,CYZONE,18.0,2023-05-22,1,577
50368882,210102494,PROMOCION USUARIOS,ESIKA,80.0,2023-05-22,1,577
49338309,400097910,Others,GENERICA,0.0,2023-05-22,1,577
49338309,400097908,Others,GENERICA,0.11,2023-05-22,1,577
50513009,200082678,FRAGANCIAS,ESIKA,46.0,2023-05-22,2,577
42318647,200102109,MAQUILLAJE,CYZONE,38.0,2023-05-22,11,577
50136795,200100855,TRATAMIENTO FACIAL,CYZONE,54.0,2023-05-22,2,577
50368882,210094410,ACCESORIOS COSMETICOS,ESIKA,17.0,2023-05-22,2,577
45960978,200098640,TRATAMIENTO FACIAL,ESIKA,98.0,2023-05-22,2,577
49491018,400097359,Others,GENERICA,0.8,2023-01-23,1,696
49524943,200102351,MAQUILLAJE,ESIKA,46.0,2023-01-19,1,700
47904196,200095170,CUIDADO PERSONAL,ESIKA,18.0,2023-01-20,4,699
49886764,200095374,CUIDADO PERSONAL,ESIKA,18.0,2023-01-18,1,701
22267752,200086188,MAQUILLAJE,LBEL,102.0,2023-01-20,1,699
50206963,200095159,CUIDADO PERSONAL,ESIKA,18.0,2023-01-16,4,703
22267752,200112474,TRATAMIENTO CORPORAL,LBEL,104.0,2023-01-20,1,699
4932870,200103022,CUIDADO PERSONAL,ESIKA,36.0,2023-01-19,2,700
49015704,200105188,CUIDADO PERSONAL,ESIKA,18.0,2023-01-07,3,712
49209037,210094971,BIJOUTERIE,CYZONE,49.0,2023-01-17,1,702
50214338,200113733,VARIOS,GENERICA,106.0,2023-01-18,1,701
44831163,200111995,MAQUILLAJE,CYZONE,37.0,2023-01-20,1,699
42039837,200103923,MAQUILLAJE,CYZONE,38.0,2023-01-27,3,692
