consultant_id,product_id,category,brand,price
49645880,400097634,,GENERICA,0.11
49812418,200102097,MAQUILLAJE,CYZONE,38.0
49532296,200106441,MAQUILLAJE,ESIKA,46.0
48506224,200095374,CUIDADO PERSONAL,ESIKA,18.0
50318273,200094857,MAQUILLAJE,ESIKA,32.0
50318273,400095669,,CYZONE,0.8
49532296,200095162,CUIDADO PERSONAL,ESIKA,18.0
7515758,210102006,COMPLEMENTOS,CYZONE,77.0
49532296,200095170,CUIDADO PERSONAL,ESIKA,18.0
9527508,400097556,,GENERICA,0.08
50396169,400097557,,GENERICA,0.23
49532296,220044659,,GENERICA,100.0
50318273,400096760,,GENERICA,0.04
7515758,400095723,,GENERICA,0.8
50318273,200089182,MUESTRAS COSMETICOS,CYZONE,1.9
47856221,210098492,MAQUILLAJE,ESIKA,64.0
50167666,200092025,FRAGANCIAS,CYZONE,52.0
20616164,210102162,BIJOUTERIE,CYZONE,103.0
20616164,210102384,BIJOUTERIE,ESIKA,85.0
20616164,400095705,,LBEL,0.8
48506224,200103025,CUIDADO PERSONAL,ESIKA,66.0
49812418,200082674,FRAGANCIAS,ESIKA,46.0
49645880,200103354,MAQUILLAJE,ESIKA,56.0
50396169,200103354,MAQUILLAJE,ESIKA,0.0
9527508,400095669,,CYZONE,0.8
7515758,200106346,FRAGANCIAS,ESIKA,95.0
47076404,400097557,,GENERICA,0.23
50396169,400097600,,ESIKA,0.8
49645880,400097556,,GENERICA,0.08
50167666,200108752,CUIDADO PERSONAL,ESIKA,36.0
50318273,200082674,FRAGANCIAS,ESIKA,46.0
7515758,210099769,BIJOUTERIE,ESIKA,110.0
20616164,200103920,MAQUILLAJE,CYZONE,38.0
49532296,400097556,,GENERICA,0.08
20616164,200111316,MUESTRAS COSMETICOS,LBEL,1.13
50167666,200090349,CUIDADO PERSONAL,ESIKA,49.0
47076404,210101278,BIJOUTERIE,CYZONE,39.0
50167666,210105070,VARIOS,GENERICA,0.27
47856221,400097634,,GENERICA,0.11
50396169,400097556,,GENERICA,0.08
50396169,400095723,,GENERICA,0.8
20616164,400097572,,GENERICA,0.4
50291952,200103961,TRATAMIENTO CORPORAL,LBEL,44.0
47076404,200092308,MAQUILLAJE,LBEL,114.0
20616164,200106462,MAQUILLAJE,ESIKA,46.0
9527508,400095705,,LBEL,0.8
50318273,200099047,FRAGANCIAS,ESIKA,130.0
50085473,400095723,,GENERICA,0.8
47856221,400097600,,ESIKA,0.8
49645880,400095723,,GENERICA,0.8
50318273,210100409,CUIDADO PERSONAL,LBEL,38.0
50167666,200078931,CUIDADO PERSONAL,ESIKA,36.0
49812418,210099851,MAQUILLAJE,CYZONE,96.0
47856221,200106458,MAQUILLAJE,ESIKA,46.0
50291952,200102282,MAQUILLAJE,ESIKA,48.0
50064719,400095673,,CYZONE,0.8
45969711,200108160,FRAGANCIAS,LBEL,190.0
50064719,200105017,FRAGANCIAS,CYZONE,60.0
49328311,400097908,,GENERICA,0.11
49661266,400097963,,LBEL,0.1
42348971,400095709,,LBEL,0.8
49661266,200086399,FRAGANCIAS,LBEL,165.0
42348971,400095672,,CYZONE,0.8
45983404,400095691,,ESIKA,0.8
49360827,200098757,TRATAMIENTO CORPORAL,ESIKA,0.0
50064719,400097951,,GENERICA,0.16
49328311,200102108,MAQUILLAJE,CYZONE,38.0
50064719,200090452,FRAGANCIAS,ESIKA,95.0
43853007,200106279,FRAGANCIAS,ESIKA,58.0
49661266,200092457,MUESTRAS COSMETICOS,CYZONE,1.2
50529169,400097908,,GENERICA,0.11
49360827,400097777,,GENERICA,0.22
47819504,400095709,,LBEL,0.8
42348971,200108044,TRATAMIENTO CORPORAL,ESIKA,40.0
50402916,200105188,CUIDADO PERSONAL,ESIKA,8.9
50529169,200103963,TRATAMIENTO CORPORAL,LBEL,0.0
47819504,400095691,,ESIKA,0.8
50440486,200099704,FRAGANCIAS,ESIKA,60.0
49328311,200106346,FRAGANCIAS,ESIKA,95.0
30993470,200108807,CUIDADO PERSONAL,ESIKA,36.9
30993470,400095691,,ESIKA,0.8
49360827,200106346,FRAGANCIAS,ESIKA,95.0
45969711,200108674,CUIDADO PERSONAL,ESIKA,18.0
50402916,200113743,VARIOS,GENERICA,114.0
50402916,200109611,MAQUILLAJE,CYZONE,34.0
50064719,400097908,,GENERICA,0.11
47819504,200103020,CUIDADO PERSONAL,ESIKA,36.0
43853007,200106312,FRAGANCIAS,ESIKA,58.0
49661266,200102282,MAQUILLAJE,ESIKA,48.0
49661266,200102282,MAQUILLAJE,ESIKA,48.0
50402916,400095673,,CYZONE,0.8
50529169,400068882,,GENERICA,0.4
49328311,210102582,COMPLEMENTOS,CYZONE,139.0
49328311,400095691,,ESIKA,0.8
50440486,200108044,TRATAMIENTO CORPORAL,ESIKA,40.0
49661266,200098519,FRAGANCIAS,ESIKA,170.0
50529169,210101897,PROMOCION USUARIOS,ESIKA,4.8
45969711,400095673,,CYZONE,0.8
45983404,200103025,CUIDADO PERSONAL,ESIKA,68.0
42348971,400095708,,LBEL,0.8
43853007,400097908,,GENERICA,0.11
50064719,200082708,MAQUILLAJE,LBEL,69.0
43853007,200111352,FRAGANCIAS,ESIKA,170.0
50529169,400095727,,GENERICA,0.8
50440486,200095158,CUIDADO PERSONAL,ESIKA,18.0
49328311,200102109,MAQUILLAJE,CYZONE,38.0
49360827,210095051,PROMOCION USUARIOS,CYZONE,73.0
50427919,200102351,MAQUILLAJE,ESIKA,48.0
50427919,400097909,,GENERICA,0.31
50412725,200100107,MAQUILLAJE,ESIKA,82.0
48755488,200106161,TRATAMIENTO CORPORAL,CYZONE,40.0
47564417,400095727,,GENERICA,0.8
50427919,200105188,CUIDADO PERSONAL,ESIKA,36.9
31617065,200106569,MAQUILLAJE,CYZONE,32.0
