Frequency_bins,"(-0.001, 1.0]","(1.0, 2.0]","(2.0, 3.0]","(3.0, 4.0]","(4.0, 5.0]","(5.0, 6.0]","(6.0, 7.0]","(7.0, 8.0]","(8.0, 9.0]","(9.0, 10.0]"
"(-0.001, 1.0]",0,0,2,0,0,0,0,0,1,5
"(1.0, 2.0]",1,235,465,552,563,664,738,736,934,904
"(2.0, 3.0]",0,144,358,449,502,565,676,684,700,576
"(3.0, 4.0]",0,61,160,226,272,380,468,435,371,296
"(4.0, 5.0]",0,29,66,90,115,138,155,141,155,88
"(5.0, 6.0]",0,24,58,74,80,96,120,113,94,81
"(6.0, 7.0]",0,12,25,31,30,33,32,34,37,27
"(7.0, 8.0]",0,1,7,10,11,10,11,9,9,9
"(8.0, 9.0]",0,1,7,9,11,10,4,5,7,7
"(9.0, 10.0]",0,0,2,10,13,13,14,19,12,12
