Recency_bins,Frequency_bins,PRECIOOFERTA,product_price
"(-0.001, 1.0]","(-0.001, 1.0]",0.02,0
"(-0.001, 1.0]","(-0.001, 1.0]",0.4,0
"(-0.001, 1.0]","(-0.001, 1.0]",0.74,0
"(-0.001, 1.0]","(-0.001, 1.0]",0.84,0
"(-0.001, 1.0]","(-0.001, 1.0]",0.9,0
"(-0.001, 1.0]","(-0.001, 1.0]",0.94,0
"(-0.001, 1.0]","(-0.001, 1.0]",1,0
"(-0.001, 1.0]","(-0.001, 1.0]",1.02,0
"(-0.001, 1.0]","(-0.001, 1.0]",1.2,0
"(-0.001, 1.0]","(-0.001, 1.0]",1.22,0
"(-0.001, 1.0]","(-0.001, 1.0]",1.24,0
"(-0.001, 1.0]","(-0.001, 1.0]",1.3,0
"(-0.001, 1.0]","(-0.001, 1.0]",1.5,0
"(-0.001, 1.0]","(-0.001, 1.0]",1.9,0
"(-0.001, 1.0]","(-0.001, 1.0]",2,0
"(-0.001, 1.0]","(-0.001, 1.0]",2.98,0
"(-0.001, 1.0]","(-0.001, 1.0]",2.99,0
"(-0.001, 1.0]","(-0.001, 1.0]",3.3,0
"(-0.001, 1.0]","(-0.001, 1.0]",3.5,0
"(-0.001, 1.0]","(-0.001, 1.0]",3.9,0
"(-0.001, 1.0]","(-0.001, 1.0]",4.5,0
"(-0.001, 1.0]","(-0.001, 1.0]",4.59,0
"(-0.001, 1.0]","(-0.001, 1.0]",4.68,0
"(-0.001, 1.0]","(-0.001, 1.0]",4.9,0
"(-0.001, 1.0]","(-0.001, 1.0]",4.95,0
"(-0.001, 1.0]","(-0.001, 1.0]",4.98,0
"(-0.001, 1.0]","(-0.001, 1.0]",4.99,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.1,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.18,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.34,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.36,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.4,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.53,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.58,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.66,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.77,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.89,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.9,0
"(-0.001, 1.0]","(-0.001, 1.0]",5.98,0
"(-0.001, 1.0]","(-0.001, 1.0]",6,0
"(-0.001, 1.0]","(-0.001, 1.0]",6.02,0
"(-0.001, 1.0]","(-0.001, 1.0]",6.41,0
"(-0.001, 1.0]","(-0.001, 1.0]",6.55,0
"(-0.001, 1.0]","(-0.001, 1.0]",6.81,0
"(-0.001, 1.0]","(-0.001, 1.0]",6.9,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.11,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.21,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.33,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.37,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.38,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.57,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.6,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.63,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.9,0
"(-0.001, 1.0]","(-0.001, 1.0]",7.98,0
"(-0.001, 1.0]","(-0.001, 1.0]",8.29,0
"(-0.001, 1.0]","(-0.001, 1.0]",8.45,0
"(-0.001, 1.0]","(-0.001, 1.0]",8.5,0
"(-0.001, 1.0]","(-0.001, 1.0]",8.74,0
"(-0.001, 1.0]","(-0.001, 1.0]",8.77,0
"(-0.001, 1.0]","(-0.001, 1.0]",8.79,0
"(-0.001, 1.0]","(-0.001, 1.0]",8.9,0
"(-0.001, 1.0]","(-0.001, 1.0]",8.95,0
