consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products
44109905,200112294,MAQUILLAJE,CYZONE,9.5,2023-02-09,17,427.40000000000003,430.195,680,0.2807017543859649,0.9199457259158752,4548.33,159,125
36949902,200086399,FRAGANCIAS,LBEL,19.95,2023-02-02,16,403.9,430.195,687,0.2631578947368421,0.9294436906377205,3459.6,116,102
49968221,200089498,TRATAMIENTO CORPORAL,ESIKA,36.9,2023-02-10,21,406.29999999999995,430.195,679,0.3508771929824561,0.9185888738127544,3674.0499999999997,137,120
46114531,210102388,BIJOUTERIE,ESIKA,59.9,2023-02-21,11,469.09999999999997,430.195,668,0.17543859649122806,0.903663500678426,6815.04,161,143
50368645,210100620,COMPLEMENTOS,CYZONE,74.9,2023-03-01,5,202.55,430.195,660,0.07017543859649122,0.89280868385346,9109.95,482,280
3441296,200090349,CUIDADO PERSONAL,ESIKA,23.9,2023-02-07,8,273.3,430.195,682,0.12280701754385964,0.9226594301221167,7206.76,261,194
50086135,200082687,CUIDADO PERSONAL,ESIKA,16.0,2023-02-01,14,373.86,430.195,688,0.22807017543859648,0.9308005427408412,1459.06,55,43
49621434,200098345,FRAGANCIAS,ESIKA,17.36,2023-02-09,12,383.09999999999997,430.195,680,0.19298245614035087,0.9199457259158752,1132.1,36,35
46587790,200106279,FRAGANCIAS,ESIKA,25.9,2023-02-24,30,767.5,430.195,665,0.5087719298245614,0.8995929443690638,5454.17,197,150
46587790,200099047,FRAGANCIAS,ESIKA,10.0,2023-02-24,30,767.5,430.195,665,0.5087719298245614,0.8995929443690638,5454.17,197,150
40764801,200093188,FRAGANCIAS,CYZONE,17.47,2023-02-02,13,307.84,430.195,687,0.21052631578947367,0.9294436906377205,2782.73,82,69
45494314,200098704,CUIDADO PERSONAL,ESIKA,11.5,2023-02-24,13,351.7,430.195,665,0.21052631578947367,0.8995929443690638,6437.58,204,165
33777957,200096218,TRATAMIENTO CORPORAL,ESIKA,27.9,2023-02-24,18,701.2,430.195,665,0.2982456140350877,0.8995929443690638,6585.54,197,146
45697525,200103923,MAQUILLAJE,CYZONE,10.99,2023-03-07,21,377.40000000000003,430.195,654,0.3508771929824561,0.8846675712347354,2614.95,119,87
34191115,210102316,BIJOUTERIE,ESIKA,54.9,2023-03-07,7,167.57999999999998,430.195,654,0.10526315789473684,0.8846675712347354,1825.76,74,60
49588232,200107184,MAQUILLAJE,CYZONE,14.9,2023-07-04,31,596.21,430.195,535,0.5263157894736842,0.723202170963365,12048.73,475,327
50476650,200105005,FRAGANCIAS,CYZONE,24.3,2023-07-04,20,411.0,430.195,535,0.3333333333333333,0.723202170963365,1516.25,80,70
49588232,200107616,MAQUILLAJE,LBEL,21.45,2023-07-04,31,596.21,430.195,535,0.5263157894736842,0.723202170963365,12048.73,475,327
50349691,200103027,CUIDADO PERSONAL,ESIKA,23.9,2023-07-04,13,452.0,430.195,535,0.21052631578947367,0.723202170963365,4795.95,159,126
50476650,200101110,TRATAMIENTO FACIAL,LBEL,46.0,2023-07-04,20,411.0,430.195,535,0.3333333333333333,0.723202170963365,1516.25,80,70
45869830,200102110,MAQUILLAJE,CYZONE,14.9,2023-07-04,8,190.8,430.195,535,0.12280701754385964,0.723202170963365,7292.2,285,203
50476650,200064310,FRAGANCIAS,ESIKA,12.3,2023-07-04,20,411.0,430.195,535,0.3333333333333333,0.723202170963365,1516.25,80,70
45869830,210095971,MAQUILLAJE,CYZONE,25.9,2023-07-04,8,190.8,430.195,535,0.12280701754385964,0.723202170963365,7292.2,285,203
50837122,200089487,TRATAMIENTO FACIAL,ESIKA,19.9,2023-07-04,7,223.85,430.195,535,0.10526315789473684,0.723202170963365,1646.99,56,53
50349691,200090337,CUIDADO PERSONAL,ESIKA,24.9,2023-07-04,13,452.0,430.195,535,0.21052631578947367,0.723202170963365,4795.95,159,126
50843157,200072406,CUIDADO PERSONAL,LBEL,14.41,2023-07-04,8,252.0,430.195,535,0.12280701754385964,0.723202170963365,1739.1,70,64
50843157,200108157,FRAGANCIAS,LBEL,21.28,2023-07-04,8,252.0,430.195,535,0.12280701754385964,0.723202170963365,1739.1,70,64
50476650,200103327,MAQUILLAJE,ESIKA,24.9,2023-07-04,20,411.0,430.195,535,0.3333333333333333,0.723202170963365,1516.25,80,70
49588232,200103025,CUIDADO PERSONAL,ESIKA,21.98,2023-07-04,31,596.21,430.195,535,0.5263157894736842,0.723202170963365,12048.73,475,327
49588232,210101976,COMPLEMENTOS,CYZONE,49.9,2023-07-04,31,596.21,430.195,535,0.5263157894736842,0.723202170963365,12048.73,475,327
48346014,200084777,CUIDADO PERSONAL,CYZONE,15.9,2023-05-04,25,688.53,430.195,596,0.42105263157894735,0.8059701492537313,16470.829999999998,665,469
49599102,210103561,BIJOUTERIE,ESIKA,29.9,2023-05-05,10,387.59999999999997,430.195,595,0.15789473684210525,0.8046132971506106,2461.9,68,61
49968221,200108908,CUIDADO PERSONAL,CYZONE,16.9,2023-05-05,24,827.0,430.195,595,0.40350877192982454,0.8046132971506106,3674.0499999999997,137,120
50639266,200108747,MAQUILLAJE,ESIKA,26.9,2023-05-05,13,315.7,430.195,595,0.21052631578947367,0.8046132971506106,2462.89,97,79
44109905,200106650,MAQUILLAJE,ESIKA,16.9,2023-05-05,16,496.65,430.195,595,0.2631578947368421,0.8046132971506106,4548.33,159,125
50437760,200106668,MAQUILLAJE,ESIKA,16.9,2023-05-05,6,150.39999999999998,430.195,595,0.08771929824561403,0.8046132971506106,1146.19,48,42
50437760,200108747,MAQUILLAJE,ESIKA,26.9,2023-05-05,6,150.39999999999998,430.195,595,0.08771929824561403,0.8046132971506106,1146.19,48,42
