CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
044109905,200112294,MAQUILLAJE,CYZONE,9.50000,2023-02-09
036949902,200086399,FRAGANCIAS,LBEL,19.95000,2023-02-02
049968221,200089498,TRATAMIENTO CORPORAL,ESIKA,36.90000,2023-02-10
046114531,210102388,BIJOUTERIE,ESIKA,59.90000,2023-02-21
050368645,210100620,COMPLEMENTOS,CYZONE,74.90000,2023-03-01
003441296,200090349,CUIDADO PERSONAL,ESIKA,23.90000,2023-02-07
050086135,200082687,CUIDADO PERSONAL,ESIKA,16.00000,2023-02-01
049621434,200098345,FRAGANCIAS,ESIKA,17.36000,2023-02-09
046587790,200106279,FRAGANCIAS,ESIKA,25.90000,2023-02-24
046587790,200099047,FRAGANCIAS,ESIKA,10.00000,2023-02-24
040764801,200093188,FRAGANCIAS,CYZONE,17.47000,2023-02-02
045494314,200098704,CUIDADO PERSONAL,ESIKA,11.50000,2023-02-24
033777957,200096218,TRATAMIENTO CORPORAL,ESIKA,27.90000,2023-02-24
045697525,200103923,MAQUILLAJE,CYZONE,10.99000,2023-03-07
034191115,210102316,BIJOUTERIE,ESIKA,54.90000,2023-03-07
049588232,200107184,MAQUILLAJE,CYZONE,14.90000,2023-07-04
050476650,200105005,FRAGANCIAS,CYZONE,24.30000,2023-07-04
049588232,200107616,MAQUILLAJE,LBEL,21.45000,2023-07-04
050349691,200103027,CUIDADO PERSONAL,ESIKA,23.90000,2023-07-04
050476650,200101110,TRATAMIENTO FACIAL,LBEL,46.00000,2023-07-04
045869830,200102110,MAQUILLAJE,CYZONE,14.90000,2023-07-04
050476650,200064310,FRAGANCIAS,ESIKA,12.30000,2023-07-04
045869830,210095971,MAQUILLAJE,CYZONE,25.90000,2023-07-04
050837122,200089487,TRATAMIENTO FACIAL,ESIKA,19.90000,2023-07-04
050349691,200090337,CUIDADO PERSONAL,ESIKA,24.90000,2023-07-04
050843157,200072406,CUIDADO PERSONAL,LBEL,14.41000,2023-07-04
050843157,200108157,FRAGANCIAS,LBEL,21.28000,2023-07-04
050476650,200103327,MAQUILLAJE,ESIKA,24.90000,2023-07-04
049588232,200103025,CUIDADO PERSONAL,ESIKA,21.98000,2023-07-04
049588232,210101976,COMPLEMENTOS,CYZONE,49.90000,2023-07-04
048346014,200084777,CUIDADO PERSONAL,CYZONE,15.90000,2023-05-04
049599102,210103561,BIJOUTERIE,ESIKA,29.90000,2023-05-05
049968221,200108908,CUIDADO PERSONAL,CYZONE,16.90000,2023-05-05
050639266,200108747,MAQUILLAJE,ESIKA,26.90000,2023-05-05
044109905,200106650,MAQUILLAJE,ESIKA,16.90000,2023-05-05
050437760,200106668,MAQUILLAJE,ESIKA,16.90000,2023-05-05
050437760,200108747,MAQUILLAJE,ESIKA,26.90000,2023-05-05
044109905,200110649,MAQUILLAJE,ESIKA,24.90000,2023-05-05
049642350,200109119,TRATAMIENTO CORPORAL,ESIKA,17.20000,2023-05-05
048433154,200095464,CUIDADO PERSONAL,ESIKA,11.90000,2023-05-05
050639266,200109163,MAQUILLAJE,CYZONE,17.90000,2023-05-05
050639266,200102108,MAQUILLAJE,CYZONE,17.90000,2023-05-05
049642350,200103025,CUIDADO PERSONAL,ESIKA,29.90000,2023-05-05
050639266,200105195,CUIDADO PERSONAL,ESIKA,8.90000,2023-05-05
050476650,200105073,MUESTRAS COSMETICOS,CYZONE,1.90000,2023-05-05
049968221,210100131,BIJOUTERIE,ESIKA,69.90000,2023-05-05
049968221,200103449,CUIDADO PERSONAL,CYZONE,8.90000,2023-05-05
049599102,210100057,BIJOUTERIE,ESIKA,33.30000,2023-05-05
