ID_OFERTA,Composite_key
6,INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0|INDIVIDUAL|FIJO|200095864|1|0|1.0
7,INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0
8,INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0|INDIVIDUAL|FIJO|200080567|1|0|1.0
9,INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0
11,INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0|INDIVIDUAL|FIJO|200118093|1|0|1.0
12,INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0
13,INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0|INDIVIDUAL|FIJO|200116338|1|0|1.0
14,INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0|INDIVIDUAL|FIJO|200117191|1|0|1.0
15,INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0
16,INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0|INDIVIDUAL|FIJO|200050979|1|0|1.0
