CODPAIS,ANIOCAMPANA,CODEBELISTA,CODVENTA,CODPRODUCTOSAP,ID_OFERTA,COD_CATALOGO,ID_MACROESTRATEGIA,ID_TIPO_SUBESTRATEGIA,DES_TIPO_SUBESTRATEGIA,DES_TIPO_ESTRATEGIA,ID_TIPO_GRUPO,ID_GRUPO,DES_TIPO_GRUPO,ID_SUB_GRUPO,NUM_PAGINA,PRECIO_OFERTA,ES_GRATIS,ES_PADRE,ES_GRUPO_PADRE,FACTOR_CUADRE,FACTOR_REPETICION,COD_TIPO_OFERTA,COD_TIPO_PROFIT,ID_SUBESTRATEGIA,CODCUC,FECHAPROCESO,COMPOSITE_PRIMARY_KEY
PE,202304,49946996,38332,200102550,539,9,1489,3,SET VARIABLE,SET,2,374207,VARIABLE,374207,541,60,0,1,1,1,1,310,1,500,P0261051003,2023-02-28,3|2|1|0|1|P0261051003|
PE,202301,43985620,35473,210102057,658,10,1333,1,INDIVIDUAL,INDIVIDUAL,1,360514,FIJO,360514,84,24.9,0,1,1,1,1,4,1,631,XXXXXXXXX,2022-12-20,1|1|1|0|1|XXXXXXXXX|
PE,202302,49946996,104020,200083615,3114,45,343,2,SET FIJO,SET,1,367853,FIJO,367853,1,25.42,0,0,1,1,1,201,1,2662,200083615,2023-01-24,2|1|1|0|0|200083615|
PE,202306,45871533,42132,220046096,571,1,205,2,SET FIJO,SET,1,384055,FIJO,384055,666,0,1,0,1,1,1,89,6,172,XXXXXXXXX,2023-04-10,2|1|1|1|0|XXXXXXXXX|
PE,202304,10961556,5977,200106608,738,10,1450,999,VOLUMEN,VOLUMEN,2,374430,VARIABLE,374430,29,22.9,0,1,1,1,1,320,1,685,P0197143004,2023-03-03,999|2|1|0|1|P0197143004|
PE,202309,50379884,1636,200106397,817,13,598,1,INDIVIDUAL,INDIVIDUAL,1,401247,FIJO,401247,109,25.9,0,1,1,1,1,300,1,769,200106397,2023-06-20,1|1|1|0|1|200106397|
PE,202305,43985620,121807,200090452,4569,45,408,993,993,OTRO,2,383213,VARIABLE,383213,1,26.6,0,1,1,3,1,201,1,3682,200040636,2023-03-14,993|2|1|0|1|200040636|
PE,202303,49946996,37972,210099696,754,10,740,2,SET FIJO,SET,1,369487,FIJO,369487,4,0.85,0,0,1,1,1,34,1,713,XXXXXXXXX,2023-02-09,2|1|1|0|0|XXXXXXXXX|
PE,202302,49389205,553,200106357,528,10,582,1,INDIVIDUAL,INDIVIDUAL,1,365179,FIJO,365179,41,42.9,0,1,1,1,1,300,1,503,200106357,2023-01-20,1|1|1|0|1|200106357|
PE,202301,10961556,35352,200107825,527,9,618,2,SET FIJO,SET,1,360374,FIJO,360374,23,22.5,0,0,1,1,1,319,1,505,200107825,2022-12-27,2|1|1|0|0|200107825|
