consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments,normalized_f,normalized_r,combined_score,bundle_id,is_anchor,bundle_score,category_score,business_score,score,selection_score
Constantes 1,200107360,MAQUILLAJE,CYZONE,13.9,13-01-2023,30,654.23,430.195,710,0.50877193,0.956580733,9324.74,384,284,Constantes 1,0.8285714285714286,0.9593267882187938,0.9070246443598478,Constantes 1_Bundle_1,1,0.44533989752983943,,,,
Constantes 1,200114935,FRAGANCIAS,CYZONE,37.9,30-08-2024,22,683.64,430.195,115,0.368421053,0.149253731,3575.2,125,100,Constantes 1,0.6,0.12482468443197756,0.3148948106591865,Constantes 1_Bundle_1,0,0.44533989752983943,1.0,3.0,2.5,2.5
Constantes 1,200090349,CUIDADO PERSONAL,ESIKA,29.9,26-07-2023,11,430.59,430.195,516,0.175438596,0.693351425,3583.24,130,96,Constantes 1,0.2857142857142857,0.6872370266479664,0.5266279302744941,Constantes 1_Bundle_1,0,0.44533989752983943,1.0,3.0,2.5,2.5
Constantes 1,200090349,CUIDADO PERSONAL,ESIKA,19.9,26-07-2023,13,396.75,430.195,516,0.210526316,0.693351425,11728.68,414,309,Constantes 1,0.34285714285714286,0.6872370266479664,0.549485073131637,Constantes 1_Bundle_1,0,0.44533989752983943,1.0,3.0,2.5,2.5
Constantes 1,200105207,FRAGANCIAS,LBEL,42.9,05-07-2024,24,719.3,430.195,171,0.403508772,0.225237449,7345.23,242,192,Constantes 1,0.6571428571428571,0.20336605890603085,0.3848767782007614,Constantes 1_Bundle_1,0,0.44533989752983943,1.0,3.0,2.5,2.5
Constantes 1,200100855,TRATAMIENTO FACIAL,CYZONE,28.9,05-07-2024,11,397.0,430.195,171,0.175438596,0.225237449,3697.82,124,116,Constantes 1,0.2857142857142857,0.20336605890603085,0.2363053496293328,Constantes 1_Bundle_1,0,0.44533989752983943,1.0,3.0,2.5,2.5
Constantes 1,200064310,FRAGANCIAS,ESIKA,13.3,26-06-2024,7,208.9,430.195,180,0.105263158,0.237449118,3866.54,146,115,Constantes 1,0.17142857142857143,0.21598877980364656,0.1981646964536165,Constantes 1_Bundle_1,0,0.44533989752983943,1.0,3.0,2.5,2.5
Constantes 1,200107360,MAQUILLAJE,CYZONE,13.9,13-01-2023,30,654.23,430.195,710,0.50877193,0.956580733,9324.74,384,284,Constantes 1,0.8285714285714286,0.9593267882187938,0.9070246443598478,Constantes 1_Bundle_2,1,0.5641136903569282,,,,
Constantes 1,200093188,FRAGANCIAS,CYZONE,17.47,02-02-2023,13,307.84,430.195,690,0.210526316,0.929443691,2782.73,82,69,Constantes 1,0.34285714285714286,0.9312762973352033,0.6959086355439791,Constantes 1_Bundle_2,0,0.5641136903569282,1.0,3.0,2.5,2.5
Constantes 1,210102576,COMPLEMENTOS,CYZONE,59.9,29-08-2023,12,309.8,430.195,482,0.192982456,0.647218453,4015.92,156,127,Constantes 1,0.3142857142857143,0.6395511921458625,0.5094450010018032,Constantes 1_Bundle_2,0,0.5641136903569282,1.0,3.0,2.5,2.5
