consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments
44109905,200112294,MAQUILLAJE,CYZONE,9.5,09-02-2023,17,427.4,430.195,683,0.280701754,0.919945726,4548.33,159,125,Constantes 3
36949902,200086399,FRAGANCIAS,LBEL,19.95,02-02-2023,16,403.9,430.195,690,0.263157895,0.929443691,3459.6,116,102,Constantes 2
49968221,200089498,TRATAMIENTO CORPORAL,ESIKA,36.9,10-02-2023,21,406.3,430.195,682,0.350877193,0.918588874,3674.05,137,120,Constantes 2
46114531,210102388,BIJOUTERIE,ESIKA,59.9,21-02-2023,11,469.1,430.195,671,0.175438596,0.903663501,6815.04,161,143,Constantes 2
50368645,210100620,COMPLEMENTOS,CYZONE,74.9,01-03-2023,5,202.55,430.195,663,0.070175439,0.892808684,9109.95,482,280,Nuevas
3441296,200090349,CUIDADO PERSONAL,ESIKA,23.9,07-02-2023,8,273.3,430.195,685,0.122807018,0.92265943,7206.76,261,194,Nuevas
50086135,200082687,CUIDADO PERSONAL,ESIKA,16,01-02-2023,14,373.86,430.195,691,0.228070175,0.930800543,1459.06,55,43,Nuevas
49621434,200098345,FRAGANCIAS,ESIKA,17.36,09-02-2023,12,383.1,430.195,683,0.192982456,0.919945726,1132.1,36,35,Constantes 2
46587790,200106279,FRAGANCIAS,ESIKA,25.9,24-02-2023,30,767.5,430.195,668,0.50877193,0.899592944,5454.17,197,150,Constantes 2
46587790,200099047,FRAGANCIAS,ESIKA,10,24-02-2023,30,767.5,430.195,668,0.50877193,0.899592944,5454.17,197,150,Constantes 2
40764801,200093188,FRAGANCIAS,CYZONE,17.47,02-02-2023,13,307.84,430.195,690,0.210526316,0.929443691,2782.73,82,69,Constantes 1
45494314,200098704,CUIDADO PERSONAL,ESIKA,11.5,24-02-2023,13,351.7,430.195,668,0.210526316,0.899592944,6437.58,204,165,Constantes 3
33777957,200096218,TRATAMIENTO CORPORAL,ESIKA,27.9,24-02-2023,18,701.2,430.195,668,0.298245614,0.899592944,6585.54,197,146,Constantes 3
45697525,200103923,MAQUILLAJE,CYZONE,10.99,07-03-2023,21,377.4,430.195,657,0.350877193,0.884667571,2614.95,119,87,Nuevas
34191115,210102316,BIJOUTERIE,ESIKA,54.9,07-03-2023,7,167.58,430.195,657,0.105263158,0.884667571,1825.76,74,60,Nuevas
