CODEBELISTA,ANIOCAMPANA,CODPAIS,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO,ROLLING_SEGMENT
6766099,202310,PE,200095464,CUIDADO PERSONAL,ESIKA,7.38,04-07-2023,Constantes 3
46928369,202310,PE,200094840,MAQUILLAJE,ESIKA,15.9,04-07-2023,Constantes 2
6766099,202310,PE,200102092,MAQUILLAJE,CYZONE,14.9,04-07-2023,Constantes 2
49682867,202310,PE,200106460,MAQUILLAJE,ESIKA,17.45,04-07-2023,Constantes 2
50236552,202310,PE,210103503,BIJOUTERIE,ESIKA,39.9,04-07-2023,Nuevas
49682867,202310,PE,210102565,COMPLEMENTOS,CYZONE,54.9,04-07-2023,Nuevas
46495217,202310,PE,200098673,FRAGANCIAS,ESIKA,11.98,04-07-2023,Nuevas
46495217,202310,PE,200102108,MAQUILLAJE,CYZONE,14.9,04-07-2023,Constantes 2
6766099,202310,PE,200105017,FRAGANCIAS,CYZONE,19.99,04-07-2023,Constantes 2
6766099,202310,PE,200106397,FRAGANCIAS,ESIKA,17.98,04-07-2023,Constantes 2
50137716,202310,PE,200105130,MAQUILLAJE,LBEL,16.9,04-07-2023,Constantes 1
46495217,202310,PE,200102089,MAQUILLAJE,CYZONE,14.9,04-07-2023,Constantes 3
32375553,202310,PE,200113796,MAQUILLAJE,CYZONE,14.9,04-07-2023,Constantes 3
46495217,202310,PE,200103394,MAQUILLAJE,ESIKA,24.9,04-07-2023,Nuevas
6766099,202310,PE,200095158,CUIDADO PERSONAL,ESIKA,7.38,04-07-2023,Nuevas
32375553,202310,PE,200105289,TRATAMIENTO FACIAL,LBEL,30.9,04-07-2023,Inconstantes
49621140,202302,PE,210095652,MAQUILLAJE,CYZONE,5,10-01-2023,Nuevas
49829035,202302,PE,200106606,MAQUILLAJE,CYZONE,21.9,17-01-2023,Inconstantes
47995051,202302,PE,200078931,CUIDADO PERSONAL,ESIKA,11.65,25-01-2023,Constantes 2
20810254,202302,PE,200086185,MAQUILLAJE,LBEL,70,16-01-2023,Nuevas
49245653,202302,PE,200090350,TRATAMIENTO CORPORAL,ESIKA,28.9,13-01-2023,Inconstantes
48652093,202302,PE,210099562,HOGAR,CYZONE,29.9,17-01-2023,Nuevas
50236552,202302,PE,200113733,VARIOS,GENERICA,54.9,20-01-2023,Inconstantes
47995051,202302,PE,200106304,FRAGANCIAS,ESIKA,34.02,25-01-2023,Inconstantes
48283403,202302,PE,200106573,MAQUILLAJE,CYZONE,14.95,12-01-2023,Constantes 2
49475098,202302,PE,200102111,MAQUILLAJE,CYZONE,15.9,10-01-2023,Constantes 3
35115986,202302,PE,210102353,BIJOUTERIE,ESIKA,39.9,10-01-2023,Constantes 3
50207838,202302,PE,200104937,CUIDADO PERSONAL,ESIKA,15.9,13-01-2023,Nuevas
41941847,202302,PE,200089988,MAQUILLAJE,CYZONE,13.5,13-01-2023,Inconstantes
48053378,202302,PE,200105034,TRATAMIENTO FACIAL,CYZONE,19.9,19-01-2023,Inconstantes
46495217,202302,PE,200107825,CUIDADO PERSONAL,LBEL,24.5,18-01-2023,Nuevas
49755953,202302,PE,200103025,CUIDADO PERSONAL,ESIKA,21.98,13-01-2023,Constantes 3
35783148,202302,PE,210102044,COMPLEMENTOS,CYZONE,27.9,19-01-2023,Constantes 2
48854338,202302,PE,200103020,CUIDADO PERSONAL,ESIKA,13.3,27-01-2023,Constantes 1
49621140,202302,PE,200085506,FRAGANCIAS,LBEL,54.97,10-01-2023,Constantes 3
23989824,202302,PE,200110005,MAQUILLAJE,ESIKA,29.9,17-01-2023,Inconstantes
38933175,202302,PE,200109352,MAQUILLAJE,CYZONE,8.9,23-01-2023,Inconstantes
46258398,202302,PE,200095170,CUIDADO PERSONAL,ESIKA,7.38,19-01-2023,Constantes 3
50216160,202302,PE,200105017,FRAGANCIAS,CYZONE,16.22,18-01-2023,Constantes 1
48641350,202302,PE,210098751,COMPLEMENTOS,CYZONE,49.9,10-01-2023,Constantes 3
49829035,202302,PE,210098469,MAQUILLAJE,CYZONE,13.9,17-01-2023,Constantes 1
41079411,202302,PE,210102041,COMPLEMENTOS,CYZONE,22.9,23-01-2023,Constantes 1
48019498,202302,PE,200039855,FRAGANCIAS,CYZONE,42.9,17-01-2023,Constantes 1
48854338,202302,PE,200095159,CUIDADO PERSONAL,ESIKA,7.38,27-01-2023,Constantes 1
45808947,202302,PE,200098377,FRAGANCIAS,ESIKA,106.9,16-01-2023,Nuevas
45345920,202301,PE,200109537,CUIDADO PERSONAL,ESIKA,7.38,05-01-2023,Constantes 2
46258398,202301,PE,210102036,COMPLEMENTOS,CYZONE,33.9,04-01-2023,Constantes 2
9319727,202301,PE,200106312,FRAGANCIAS,ESIKA,17.36,06-01-2023,Constantes 3
33674465,202301,PE,200103452,CUIDADO PERSONAL,LBEL,8.9,13-12-2022,Constantes 3
49478801,202301,PE,200106354,FRAGANCIAS,LBEL,19.9,16-12-2022,Constantes 2
6766099,202301,PE,200082687,CUIDADO PERSONAL,ESIKA,17.9,29-12-2022,Constantes 3
35783148,202301,PE,200105017,FRAGANCIAS,CYZONE,17.1,28-12-2022,Constantes 2
43819615,202301,PE,200108505,CUIDADO PERSONAL,ESIKA,19.9,26-12-2022,Constantes 2
49841213,202301,PE,200102092,MAQUILLAJE,CYZONE,9.9,29-12-2022,Constantes 3
49245653,202301,PE,200107360,MAQUILLAJE,CYZONE,13.9,23-12-2022,Constantes 1
35115986,202301,PE,200108044,TRATAMIENTO CORPORAL,ESIKA,17.9,21-12-2022,Constantes 1
44736446,202301,PE,200099047,FRAGANCIAS,ESIKA,35.22,23-12-2022,Constantes 1
49094396,202301,PE,210099604,BIJOUTERIE,CYZONE,39.9,27-12-2022,Constantes 3
43374087,202301,PE,200083997,FRAGANCIAS,ESIKA,18.45,06-01-2023,Constantes 3
46928369,202301,PE,200095931,FRAGANCIAS,ESIKA,1.37,27-12-2022,Constantes 3
46258398,202302,PE,200105017,FRAGANCIAS,CYZONE,16.63,19-01-2023,Constantes 3
49245653,202302,PE,200112294,MAQUILLAJE,CYZONE,9.5,13-01-2023,Nuevas
36838736,202302,PE,210097974,COMPLEMENTOS,CYZONE,49.9,16-01-2023,Inconstantes
47979439,202302,PE,200089509,FRAGANCIAS,ESIKA,37.45,19-01-2023,Constantes 3
49885679,202302,PE,200106304,FRAGANCIAS,ESIKA,39.9,24-01-2023,Constantes 2
49264844,202302,PE,210102346,BIJOUTERIE,ESIKA,64.9,25-01-2023,Constantes 1
50063321,202302,PE,200078924,CUIDADO PERSONAL,ESIKA,13.3,12-01-2023,Constantes 1
50180832,202302,PE,200108048,FRAGANCIAS,CYZONE,23.9,18-01-2023,Constantes 2
43819615,202302,PE,200105195,CUIDADO PERSONAL,ESIKA,5.1,18-01-2023,Constantes 2
48652093,202302,PE,200112474,TRATAMIENTO CORPORAL,LBEL,29.9,17-01-2023,Constantes 3
9799877,202302,PE,200103026,CUIDADO PERSONAL,ESIKA,14.95,09-01-2023,Constantes 1
48989926,202302,PE,200108044,TRATAMIENTO CORPORAL,ESIKA,13.47,27-01-2023,Inconstantes
38933175,202302,PE,210099696,PROMOCION USUARIOS,CYZONE,1.9,23-01-2023,Constantes 3
9319727,202302,PE,210098462,MAQUILLAJE,CYZONE,13.9,24-01-2023,Inconstantes
36653310,202302,PE,200109169,MAQUILLAJE,CYZONE,15.9,18-01-2023,Constantes 3
49163312,202302,PE,200090351,TRATAMIENTO CORPORAL,ESIKA,28.9,17-01-2023,Inconstantes
